标准指标名,指标分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,TT-Advertiser,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Campaign,FB-AdSet,FB-Ad
search_rank_lost_impression_share,Impression Share,-,search_rank_lost_impression_share,search_rank_lost_impression_share,-,search_rank_lost_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_rank_lost_absolute_top_impression_share,Impression Share,-,search_rank_lost_absolute_top_impression_share,search_rank_lost_absolute_top_impression_share,-,search_rank_lost_absolute_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_rank_lost_top_impression_share,Impression Share,-,search_rank_lost_top_impression_share,search_rank_lost_top_impression_share,-,search_rank_lost_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_budget_lost_impression_share,Impression Share,-,search_budget_lost_impression_share,search_budget_lost_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
search_budget_lost_absolute_top_impression_share,Impression Share,-,search_budget_lost_absolute_top_impression_share,search_budget_lost_absolute_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
search_budget_lost_top_impression_share,Impression Share,-,search_budget_lost_top_impression_share,search_budget_lost_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
search_top_impression_share,Impression Share,-,search_top_impression_share,search_top_impression_share,-,search_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_click_share,Impression Share,-,search_click_share,search_click_share,-,search_click_share,-,-,-,-,-,-,-,-,-,-,-,-
content_impression_share,Impression Share,-,content_impression_share,content_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
content_rank_lost_impression_share,Impression Share,-,content_rank_lost_impression_share,content_rank_lost_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
content_budget_lost_impression_share,Impression Share,-,content_budget_lost_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
auction_insight_search_impression_share,Impression Share,-,auction_insight_search_impression_share,auction_insight_search_impression_share,-,auction_insight_search_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
auction_insight_search_absolute_top_impression_percentage,Impression Share,-,auction_insight_search_absolute_top_impression_percentage,auction_insight_search_absolute_top_impression_percentage,-,auction_insight_search_absolute_top_impression_percentage,-,-,-,-,-,-,-,-,-,-,-,-
auction_insight_search_top_impression_percentage,Impression Share,-,auction_insight_search_top_impression_percentage,auction_insight_search_top_impression_percentage,-,auction_insight_search_top_impression_percentage,-,-,-,-,-,-,-,-,-,-,-,-
active_view_impressions,Active View,-,active_view_impressions,active_view_impressions,active_view_impressions,active_view_impressions,-,-,-,-,-,-,-,-,-,-,-,-
active_view_cpm,Active View,-,active_view_cpm,active_view_cpm,active_view_cpm,active_view_cpm,-,-,-,-,-,-,-,-,-,-,-,-
active_view_ctr,Active View,-,active_view_ctr,active_view_ctr,active_view_ctr,active_view_ctr,-,-,-,-,-,-,-,-,-,-,-,-
active_view_viewability,Active View,-,active_view_viewability,active_view_viewability,active_view_viewability,active_view_viewability,-,-,-,-,-,-,-,-,-,-,-,-
active_view_measurability,Active View,-,active_view_measurability,active_view_measurability,active_view_measurability,active_view_measurability,-,-,-,-,-,-,-,-,-,-,-,-
active_view_measurable_impressions,Active View,-,active_view_measurable_impressions,active_view_measurable_impressions,active_view_measurable_impressions,active_view_measurable_impressions,-,-,-,-,-,-,-,-,-,-,-,-
active_view_measurable_cost_micros,Active View,-,active_view_measurable_cost_micros,active_view_measurable_cost_micros,active_view_measurable_cost_micros,active_view_measurable_cost_micros,-,-,-,-,-,-,-,-,-,-,-,-
phone_calls,Phone,-,phone_calls,phone_calls,-,phone_calls,-,-,-,-,-,-,-,-,-,-,-,-
phone_impressions,Phone,-,phone_impressions,phone_impressions,-,-,-,-,-,-,-,-,-,-,-,-,-,-
phone_through_rate,Phone,-,phone_through_rate,phone_through_rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-
auction_insight_search_outranking_share,Auction Insight,-,auction_insight_search_outranking_share,auction_insight_search_outranking_share,-,auction_insight_search_outranking_share,-,-,-,-,-,-,-,-,-,-,-,-
auction_insight_search_overlap_rate,Auction Insight,-,auction_insight_search_overlap_rate,auction_insight_search_overlap_rate,-,auction_insight_search_overlap_rate,-,-,-,-,-,-,-,-,-,-,-,-
auction_insight_search_position_above_rate,Auction Insight,-,auction_insight_search_position_above_rate,auction_insight_search_position_above_rate,-,auction_insight_search_position_above_rate,-,-,-,-,-,-,-,-,-,-,-,-
orders,Shopping & Revenue,-,orders,orders,-,-,-,-,-,-,-,-,-,-,-,-,-,-
revenue_micros,Shopping & Revenue,-,revenue_micros,revenue_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gross_profit_micros,Shopping & Revenue,-,gross_profit_micros,gross_profit_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gross_profit_margin,Shopping & Revenue,-,gross_profit_margin,gross_profit_margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-
units_sold,Shopping & Revenue,-,units_sold,units_sold,-,-,-,-,-,-,-,-,totalUnitsSold14d/unitsSold14d,totalUnitsSold14d/unitsSold14d,totalUnitsSold14d/unitsSold14d,-,-,-
average_order_value_micros,Shopping & Revenue,-,average_order_value_micros,average_order_value_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-
average_cart_size,Shopping & Revenue,-,average_cart_size,average_cart_size,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cost_of_goods_sold_micros,Shopping & Revenue,-,cost_of_goods_sold_micros,cost_of_goods_sold_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lead_revenue_micros,Shopping & Revenue,-,lead_revenue_micros,lead_revenue_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lead_gross_profit_micros,Shopping & Revenue,-,lead_gross_profit_micros,lead_gross_profit_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lead_units_sold,Shopping & Revenue,-,lead_units_sold,lead_units_sold,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cross_sell_revenue_micros,Shopping & Revenue,-,cross_sell_revenue_micros,cross_sell_revenue_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cross_sell_gross_profit_micros,Shopping & Revenue,-,cross_sell_gross_profit_micros,cross_sell_gross_profit_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cross_sell_units_sold,Shopping & Revenue,-,cross_sell_units_sold,cross_sell_units_sold,-,-,-,-,-,-,-,-,-,-,-,-,-,-
onsite_shopping,Shopping & Revenue,-,-,-,-,-,-,-,onsite_shopping,onsite_shopping,onsite_shopping,onsite_shopping,-,-,-,-,-,-
onsite_total_purchase_value,Shopping & Revenue,-,-,-,-,-,-,-,onsite_total_purchase_value,onsite_total_purchase_value,onsite_total_purchase_value,onsite_total_purchase_value,-,-,-,-,-,-
sk_ad_network_installs,SKAdNetwork,-,sk_ad_network_installs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
historical_quality_score,Quality,-,-,-,-,historical_quality_score,-,-,-,-,-,-,-,-,-,-,-,-
historical_creative_quality_score,Quality,-,-,-,-,historical_creative_quality_score,-,-,-,-,-,-,-,-,-,-,-,-
historical_landing_page_quality_score,Quality,-,-,-,-,historical_landing_page_quality_score,-,-,-,-,-,-,-,-,-,-,-,-
historical_search_predicted_ctr,Quality,-,-,-,-,historical_search_predicted_ctr,-,-,-,-,-,-,-,-,-,-,-,-
percent_new_visitors,Other,-,percent_new_visitors,percent_new_visitors,percent_new_visitors,percent_new_visitors,-,-,-,-,-,-,-,-,-,-,-,-
new_customer_lifetime_value,Other,-,new_customer_lifetime_value,new_customer_lifetime_value,new_customer_lifetime_value,-,-,-,-,-,-,-,-,-,-,-,-,-
all_new_customer_lifetime_value,Other,-,all_new_customer_lifetime_value,all_new_customer_lifetime_value,all_new_customer_lifetime_value,-,-,-,-,-,-,-,-,-,-,-,-,-
average_impression_frequency_per_user,Other,-,average_impression_frequency_per_user,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
unique_users,Other,-,unique_users,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
average_target_cpa_micros,Other,-,average_target_cpa_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
average_target_roas,Other,-,average_target_roas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
optimization_score_uplift,Other,-,optimization_score_uplift,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
optimization_score_url,Other,-,optimization_score_url,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
shop_total_items_purchased,Other,-,-,-,-,-,-,-,shop_total_items_purchased,shop_total_items_purchased,shop_total_items_purchased,shop_total_items_purchased,-,-,-,-,-,-
app_event_add_to_cart,Other,-,-,-,-,-,-,-,app_event_add_to_cart,app_event_add_to_cart,app_event_add_to_cart,app_event_add_to_cart,-,-,-,-,-,-
complete_payment_roas,Other,-,-,-,-,-,-,-,complete_payment_roas,complete_payment_roas,complete_payment_roas,complete_payment_roas,-,-,-,-,-,-
value_per_complete_payment,Other,-,-,-,-,-,-,-,value_per_complete_payment,value_per_complete_payment,value_per_complete_payment,value_per_complete_payment,-,-,-,-,-,-
total_fee,Amazon Fee,-,-,-,-,-,-,-,-,-,-,-,totalFee,totalFee,totalFee,-,-,-
agency_fee,Amazon Fee,-,-,-,-,-,-,-,-,-,-,-,agencyFee,agencyFee,agencyFee,-,-,-
dpv_views_14d,Amazon DPV,-,-,-,-,-,-,-,-,-,-,-,dpvViews14d,dpvViews14d,dpvViews14d,-,-,-
total_detail_page_views_14d,Amazon DPV,-,-,-,-,-,-,-,-,-,-,-,totalDetailPageViews14d,totalDetailPageViews14d,totalDetailPageViews14d,-,-,-
total_add_to_cart_14d,Amazon Cart,-,-,-,-,-,-,-,-,-,-,-,totalAddToCart14d,totalAddToCart14d,totalAddToCart14d,-,-,-
total_add_to_list_14d,Amazon Cart,-,-,-,-,-,-,-,-,-,-,-,totalAddToList14d,totalAddToList14d,totalAddToList14d,-,-,-
total_purchases_14d,Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,totalPurchases14d,totalPurchases14d,totalPurchases14d,-,-,-
total_purchase_rate_14d,Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,totalPurchaseRate14d,totalPurchaseRate14d,totalPurchaseRate14d,-,-,-
total_sales_14d,Amazon Sales,-,-,-,-,-,-,-,-,-,-,-,totalSales14d,totalSales14d,totalSales14d,-,-,-
total_units_sold_14d,Amazon Sales,-,-,-,-,-,-,-,-,-,-,-,totalUnitsSold14d,totalUnitsSold14d,totalUnitsSold14d,-,-,-
ntb_purchases_14d,Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,newToBrandPurchases14d,newToBrandPurchases14d,newToBrandPurchases14d,-,-,-
ntb_purchase_rate_14d,Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,newToBrandPurchaseRate14d,newToBrandPurchaseRate14d,newToBrandPurchaseRate14d,-,-,-
measurable_impressions,Amazon Viewability,-,-,-,-,-,-,-,-,-,-,-,measurableImpressions,measurableImpressions,measurableImpressions,-,-,-
viewable_impressions,Amazon Viewability,-,-,-,-,-,-,-,-,-,-,-,viewableImpressions,viewableImpressions,viewableImpressions,-,-,-
viewability_rate,Amazon Viewability,-,-,-,-,-,-,-,-,-,-,-,viewabilityRate,viewabilityRate,viewabilityRate,-,-,-
video_started,Video,-,-,-,-,-,-,-,-,-,-,-,videoStarted,videoStarted,videoStarted,-,-,-
purchases_1d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,purchases1d,purchases1d,purchases1d,-,-,-
purchases_7d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,purchases7d,purchases7d,purchases7d,-,-,-
purchases_14d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,purchases14d,purchases14d,purchases14d,-,-,-
purchases_30d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,purchases30d,purchases30d,purchases30d,-,-,-
sales_1d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,sales1d,sales1d,sales1d,-,-,-
sales_7d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,sales7d,sales7d,sales7d,-,-,-
sales_14d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,sales14d,sales14d,sales14d,-,-,-
sales_30d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,sales30d,sales30d,sales30d,-,-,-
add_to_cart,Conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:add_to_cart,actions:add_to_cart,actions:add_to_cart
initiate_checkout,Conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:initiate_checkout,actions:initiate_checkout,actions:initiate_checkout
view_content,Conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:view_content,actions:view_content,actions:view_content
lead,Conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:lead,actions:lead,actions:lead
video_play_actions,Video,-,-,-,-,-,-,-,-,-,-,-,-,-,-,video_play_actions,video_play_actions,video_play_actions
video_watched_2s,Video,-,-,-,-,-,-,-,-,-,-,-,-,-,-,video_continuous_2_sec_watched_actions,video_continuous_2_sec_watched_actions,video_continuous_2_sec_watched_actions
video_thruplay,Video,-,-,-,-,-,-,-,-,-,-,-,-,-,-,video_thruplay_watched_actions,video_thruplay_watched_actions,video_thruplay_watched_actions
video_30_sec_watched,Video,-,-,-,-,-,-,-,-,-,-,-,-,-,-,video_30_sec_watched_actions,video_30_sec_watched_actions,video_30_sec_watched_actions
cpp,Core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cpp,cpp,cpp
unique_clicks,Core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unique_clicks,unique_clicks,unique_clicks
unique_ctr,Core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unique_ctr,unique_ctr,unique_ctr
inline_link_clicks,Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,inline_link_clicks,inline_link_clicks,inline_link_clicks
inline_post_engagement,Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,inline_post_engagement,inline_post_engagement,inline_post_engagement
post_engagement,Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:post_engagement,actions:post_engagement,actions:post_engagement
page_engagement,Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:page_engagement,actions:page_engagement,actions:page_engagement
link_click,Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:link_click,actions:link_click,actions:link_click
landing_page_view,Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:landing_page_view,actions:landing_page_view,actions:landing_page_view
cost_per_thruplay,FB Video Cost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cost_per_thruplay,cost_per_thruplay,cost_per_thruplay
cost_per_inline_link_click,FB Click Cost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cost_per_inline_link_click,cost_per_inline_link_click,cost_per_inline_link_click
cost_per_outbound_click,FB Click Cost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cost_per_outbound_click,cost_per_outbound_click,cost_per_outbound_click
cost_per_unique_click,FB Click Cost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cost_per_unique_click,cost_per_unique_click,cost_per_unique_click
outbound_clicks,FB Click,-,-,-,-,-,-,-,-,-,-,-,-,-,-,outbound_clicks,outbound_clicks,outbound_clicks
social_spend,FB Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,social_spend,social_spend,social_spend
website_purchase_roas,FB ROAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,website_purchase_roas,website_purchase_roas,website_purchase_roas
canvas_avg_view_percent,FB Canvas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,canvas_avg_view_percent,canvas_avg_view_percent,canvas_avg_view_percent
quality_ranking,FB Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,quality_ranking,quality_ranking,quality_ranking
engagement_rate_ranking,FB Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,engagement_rate_ranking,engagement_rate_ranking,engagement_rate_ranking
conversion_rate_ranking,FB Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,conversion_rate_ranking,conversion_rate_ranking,conversion_rate_ranking
dpv_clicks_14d,Amazon DPV,-,-,-,-,-,-,-,-,-,-,-,dpvClicks14d,dpvClicks14d,dpvClicks14d,-,-,-
total_add_to_cart_clicks_14d,Amazon Cart,-,-,-,-,-,-,-,-,-,-,-,totalAddToCartClicks14d,totalAddToCartClicks14d,totalAddToCartClicks14d,-,-,-
total_add_to_cart_views_14d,Amazon Cart,-,-,-,-,-,-,-,-,-,-,-,totalAddToCartViews14d,totalAddToCartViews14d,totalAddToCartViews14d,-,-,-
total_purchases_clicks_14d,Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,totalPurchasesClicks14d,totalPurchasesClicks14d,totalPurchasesClicks14d,-,-,-
total_purchases_views_14d,Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,totalPurchasesViews14d,totalPurchasesViews14d,totalPurchasesViews14d,-,-,-
purchases_clicks_14d,Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,purchasesClicks14d,purchasesClicks14d,purchasesClicks14d,-,-,-
purchases_views_14d,Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,purchasesViews14d,purchasesViews14d,purchasesViews14d,-,-,-
units_sold_14d,Amazon Sales,-,-,-,-,-,-,-,-,-,-,-,unitsSold14d,unitsSold14d,unitsSold14d,-,-,-
ntb_purchases_clicks_14d,Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,newToBrandPurchasesClicks14d,newToBrandPurchasesClicks14d,newToBrandPurchasesClicks14d,-,-,-
ntb_purchases_views_14d,Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,newToBrandPurchasesViews14d,newToBrandPurchasesViews14d,newToBrandPurchasesViews14d,-,-,-
ntb_ecpp_14d,Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,newToBrandEcpp14d,newToBrandEcpp14d,newToBrandEcpp14d,-,-,-
total_ntb_purchases_14d,Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,totalNewToBrandPurchases14d,totalNewToBrandPurchases14d,totalNewToBrandPurchases14d,-,-,-
new_subscribe_and_save_14d,Amazon Subscribe,-,-,-,-,-,-,-,-,-,-,-,newSubscribeAndSave14d,newSubscribeAndSave14d,newSubscribeAndSave14d,-,-,-
total_subscribe_and_save_14d,Amazon Subscribe,-,-,-,-,-,-,-,-,-,-,-,totalSubscribeAndSave14d,totalSubscribeAndSave14d,totalSubscribeAndSave14d,-,-,-
brand_search_14d,Amazon Brand,-,-,-,-,-,-,-,-,-,-,-,brandSearch14d,brandSearch14d,brandSearch14d,-,-,-
brand_search_clicks_14d,Amazon Brand,-,-,-,-,-,-,-,-,-,-,-,brandSearchClicks14d,brandSearchClicks14d,brandSearchClicks14d,-,-,-
brand_search_views_14d,Amazon Brand,-,-,-,-,-,-,-,-,-,-,-,brandSearchViews14d,brandSearchViews14d,brandSearchViews14d,-,-,-
units_sold_1d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,unitsSold1d,unitsSold1d,unitsSold1d,-,-,-
units_sold_7d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,unitsSold7d,unitsSold7d,unitsSold7d,-,-,-
units_sold_14d_sp,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,unitsSold14d,unitsSold14d,unitsSold14d,-,-,-
units_sold_30d,Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,unitsSold30d,unitsSold30d,unitsSold30d,-,-,-
kindle_pages_read_14d,Amazon Kindle,-,-,-,-,-,-,-,-,-,-,-,kindleEditionNormalizedPagesRead14d,kindleEditionNormalizedPagesRead14d,kindleEditionNormalizedPagesRead14d,-,-,-
kindle_pages_royalties_14d,Amazon Kindle,-,-,-,-,-,-,-,-,-,-,-,kindleEditionNormalizedPagesRoyalties14d,kindleEditionNormalizedPagesRoyalties14d,kindleEditionNormalizedPagesRoyalties14d,-,-,-
